Committee	CommitteeName	AddDate	AreaRegion	ParentName	ComemID	ContactID	ContactName	CompanyName	ContactAddrID	ContactAddress1	ContactAddress2	ContactCity	ContactState	ContactZip	ContactCountry	ContactPhone	MeetingID	Room	Closed	WheelChr	Day	Time	Language1	Language2	Language3	LocationId	Place	Address	City	LocBorough	State	Zip	Country	Directions	Institutional	Format1	Format2	Format3	Format4	Format5	Delete	LastChanged	longitude	latitude	ContactGP
G00090917	YODA Group	3/4/02	RG616	Show-Me Region	90789												7135	Southwest Building Basement	OPEN	FALSE	Thursday	1900				4309	Atchison Juvenile Correctional Facility	1900 North 2nd Street	Atchison		KS	66002-1050	USA		TRUE	RA	TOP					6/24/11			
G00020707	Booger Serenity Seekers Group	11/18/99	RG616	Show-Me Region	43083												242083	Downstairs	OPEN	TRUE	Monday	2000				189912	Courthouse		Ava		MO	65608	USA		FALSE	DISC						5/4/08			
G00146114	Free BCC Group	8/8/05	RG616	Show-Me Region	44607												255402	Building II	OPEN	FALSE	Wednesday	1900				196393	Boonville Correctional Center	Monroe Street	Boonville		MO	65233	USA		TRUE	RA						8/6/10			
G00020366	36 Ways to Conquer Group	11/18/99	RG616	Show-Me Region	39130												241271		OPEN	TRUE	Thursday	900				189189	Northeast Correctional Center	13698 Pike 46 Airport Road	Bowling Green		MO	63334	USA		TRUE	RA	M					8/6/10			
G00187151	Ready NA Pod Group	6/12/07	RG616	Show-Me Region	44181												264612	A Pod	OPEN	TRUE	Monday	1900				200719	Bates County Jail	PO Box 60	Butler		MO	64730	USA		TRUE	RA						6/24/11			
G00187151	Ready NA Pod Group	6/12/07	RG616	Show-Me Region	44181												264613	A Pod	OPEN	TRUE	Tuesday	1900				200719	Bates County Jail	PO Box 60	Butler		MO	64730	USA		TRUE	RA						6/24/11			
G00187151	Ready NA Pod Group	6/12/07	RG616	Show-Me Region	44181												264614	A Pod	OPEN	TRUE	Thursday	1900				200719	Bates County Jail	PO Box 60	Butler		MO	64730	USA		TRUE	RA						6/24/11			
G00187151	Ready NA Pod Group	6/12/07	RG616	Show-Me Region	44181												264615	A Pod	OPEN	TRUE	Friday	1900				200719	Bates County Jail	PO Box 60	Butler		MO	64730	USA		TRUE	RA						6/24/11	-94.2743628	38.2810842	
G00283373	Clean & Serene Group	3/13/13	RG616	Show-Me Region	283246												289841		CLOSED	FALSE	Monday	1830				213341	House	105 Page Street	Doniphan		MO	63935-1321	USA		FALSE							3/21/13	-90.8268888	36.6254194	
G00283373	Clean & Serene Group	3/13/13	RG616	Show-Me Region	283246												289744		CLOSED	FALSE	Thursday	1830				213341	House	105 Page Street	Doniphan		MO	63935-1321	USA		FALSE							3/20/13	-90.8268888	36.6254194	
G00283373	Clean & Serene Group	3/13/13	RG616	Show-Me Region	283246												289842		CLOSED	FALSE	Friday	1830				213341	House	105 Page Street	Doniphan		MO	63935-1321	USA		FALSE							3/21/13	-90.8268888	36.6254194	
G00283373	Clean & Serene Group	3/13/13	RG616	Show-Me Region	283246												289745		OPEN	FALSE	Saturday	1830				213341	House	105 Page Street	Doniphan		MO	63935-1321	USA		FALSE							3/20/13	-90.8268888	36.6254194	
G00168283	Moving On Group	9/29/06	RG616	Show-Me Region	168284												260535	Conference	OPEN	TRUE	Friday	1800				198900	Faith Community Church	10423 North Street	Dudley		MO	63936	USA		FALSE							9/29/06	-90.0911084	36.7892486	
G00253679	Welcome to Reality Group	4/28/11	RG616	Show-Me Region	73708												282724	Room #14	OPEN	TRUE	Monday	1200				851	Christ's Church	2511 South Veterans Drive	Effingham		IL	62401-4141	USA		FALSE	DISC	CW					8/5/11	-88.5390306	39.0986112	
G00253679	Welcome to Reality Group	4/28/11	RG616	Show-Me Region	73708												281849	Room 14	OPEN	TRUE	Tuesday	1200				851	Christ's Church	2511 South Veterans Drive	Effingham		IL	62401-4141	USA		FALSE	LIT	QA	CW				8/5/11	-88.5390306	39.0986112	
G00295969	Way of Life Group	10/29/13	RG616	Show-Me Region	149011												291829	Basement	OPEN	TRUE	Tuesday	1800				213587	Centenary United Methodist Church	203 East Grove Avenue	Effingham		IL	62401-3835	USA		FALSE	VAR						12/4/14	-88.540172	39.11538	
